file,file_type,decision,score,reasons,bad_level,bad_category,rescue_hint,width,height,duration_sec,total_frames,sampled_frames,quality_bad_ratio,freeze_ratio,read_fail_ratio,yolo_match_ratio,yolo_forbid_ratio,yolo_detected_classes,clip_score,copyright_risk_ratio,copyright_max_score,copyright_reasons,avg_brightness,avg_blur,avg_contrast,avg_black_ratio,avg_white_ratio
D:\data_test\01_blurry.jpg,image,REVIEW,85.0,画面模糊:blur=1.6,REVIEW,可疑样本,建议人工复核，确认是否进入标注或训练。,800,600,0.0,0,1,1.0,0.0,0.0,1.0,0.0,,-1,0.0,0.0,,136.729,1.613,40.872,0.0,0.0
D:\data_test\01_dark.jpg,image,REVIEW,55.0,画面模糊:blur=4.6；画面过暗:brightness=24.2；对比度过低:contrast=7.9,REVIEW,可疑样本,建议人工复核，确认是否进入标注或训练。,800,600,0.0,0,1,1.0,0.0,0.0,1.0,0.0,,-1,0.0,0.0,,24.244,4.571,7.871,0.027,0.0
D:\data_test\01_overexposed.jpg,image,REVIEW,85.0,画面过曝:brightness=244.7,REVIEW,可疑样本,建议人工复核，确认是否进入标注或训练。,800,600,0.0,0,1,1.0,0.0,0.0,1.0,0.0,,-1,0.0,0.0,,244.731,219.489,27.291,0.0,0.822
D:\data_test\01_person_walking.jpg,image,GOOD,100.0,,GOOD,,,800,600,0.0,0,1,0.0,0.0,0.0,1.0,0.0,,-1,0.0,0.0,,136.725,111.997,43.378,0.0,0.0
D:\data_test\02_person_phone.jpg,image,GOOD,100.0,,GOOD,,,800,600,0.0,0,1,0.0,0.0,0.0,1.0,0.0,,-1,0.0,0.0,,154.988,211.351,54.842,0.015,0.034
D:\data_test\03_blurry.jpg,image,REVIEW,85.0,画面模糊:blur=2.3,REVIEW,可疑样本,建议人工复核，确认是否进入标注或训练。,800,600,0.0,0,1,1.0,0.0,0.0,1.0,0.0,,-1,0.0,0.0,,141.86,2.291,58.696,0.0,0.026
D:\data_test\03_car_street.jpg,image,REVIEW,85.0,疑似版权/水印风险:score=50.0(角落疑似水印/Logo:95.7；中心区域疑似大面积文字/水印:96.6),REVIEW,可疑样本,建议人工复核，确认是否进入标注或训练。,800,600,0.0,0,1,0.0,0.0,0.0,1.0,0.0,,-1,1.0,50.0,角落疑似水印/Logo:95.7；中心区域疑似大面积文字/水印:96.6,141.855,1381.687,72.338,0.024,0.076
D:\data_test\03_dark.jpg,image,GOOD,100.0,,GOOD,,,800,600,0.0,0,1,0.0,0.0,0.0,1.0,0.0,,-1,0.0,0.0,,25.021,49.464,13.037,0.164,0.0
D:\data_test\03_overexposed.jpg,image,REVIEW,85.0,疑似版权/水印风险:score=50.0(角落疑似水印/Logo:97.4；中心区域疑似大面积文字/水印:82.6),REVIEW,可疑样本,建议人工复核，确认是否进入标注或训练。,800,600,0.0,0,1,0.0,0.0,0.0,1.0,0.0,,-1,1.0,50.0,角落疑似水印/Logo:97.4；中心区域疑似大面积文字/水印:82.6,216.262,2338.066,67.03,0.002,0.564
D:\data_test\04_dog_park.jpg,image,REVIEW,85.0,疑似版权/水印风险:score=75.0(角落疑似水印/Logo:75.1；底部疑似字幕/水印文字:88.8；中心区域疑似大面积文字/水印:95.7),REVIEW,可疑样本,建议人工复核，确认是否进入标注或训练。,800,600,0.0,0,1,0.0,0.0,0.0,1.0,0.0,,-1,1.0,75.0,角落疑似水印/Logo:75.1；底部疑似字幕/水印文字:88.8；中心区域疑似大面积文字/水印:95.7,123.008,548.242,70.721,0.06,0.0
D:\data_test\05_city_cars.jpg,image,GOOD,100.0,,GOOD,,,800,600,0.0,0,1,0.0,0.0,0.0,1.0,0.0,,-1,0.0,0.0,,98.668,149.605,92.106,0.197,0.047
D:\data_test\06_person_laptop.jpg,image,GOOD,100.0,,GOOD,,,800,600,0.0,0,1,0.0,0.0,0.0,1.0,0.0,,-1,0.0,30.0,角落疑似水印/Logo:65.3,150.065,89.585,79.93,0.0,0.072
D:\data_test\07_dog_outdoor.jpg,image,REVIEW,85.0,疑似版权/水印风险:score=75.0(角落疑似水印/Logo:99.3；底部疑似字幕/水印文字:84.5；中心区域疑似大面积文字/水印:78.8),REVIEW,可疑样本,建议人工复核，确认是否进入标注或训练。,800,600,0.0,0,1,0.0,0.0,0.0,1.0,0.0,,-1,1.0,75.0,角落疑似水印/Logo:99.3；底部疑似字幕/水印文字:84.5；中心区域疑似大面积文字/水印:78.8,46.14,801.904,35.995,0.159,0.0
